File,ConfigID,Presolver,Scaling,Pricing,Ratio,Precision,ExitCode,TimeSeconds,Status,Iterations,Difficulty
eil33-2_LP,C4,1,4,3,3,100,0,6.515101977,optimal,325,easy
eil33-2_LP,C5,1,2,0,3,100,0,6.4958622,optimal,325,easy
eil33-2_LP,C6,1,2,0,3,50,0,3.376153496,optimal,323,easy
eil33-2_LP,C7,1,2,0,3,25,0,3.306372737,optimal,323,easy
eil33-2_LP,C8,,,,,,0,0.078,optimal,-1,easy
eilA101-2_LP,C1,0,0,0,1,100,124,750.0426696,timeout,-2,easy
eilA101-2_LP,C2,1,2,0,3,100,124,750.0673336,timeout,-2,easy
eilA101-2_LP,C3,2,2,5,3,100,0,262.5911395,timeout,0,easy
eilA101-2_LP,C4,1,4,3,3,100,124,750.0689714,timeout,-2,easy
eilA101-2_LP,C5,1,2,0,3,100,124,750.0673663,timeout,-2,easy
eilA101-2_LP,C6,1,2,0,3,50,124,750.0602971,timeout,-2,easy
